Group,Species,Major_group
Bryophytes,Bartramia ithyphylla,LOWER_PLANTS
Bryophytes,Bartramia pomiformis,LOWER_PLANTS
Bryophytes,Bazzania pearsonii,LOWER_PLANTS
Bryophytes,Bazzania tricrenata,LOWER_PLANTS
Bryophytes,Bazzania trilobata,LOWER_PLANTS
Bryophytes,Blasia pusilla,LOWER_PLANTS
Bryophytes,Blepharostoma trichophyllum,LOWER_PLANTS
Bryophytes,Blindia acuta,LOWER_PLANTS
Bryophytes,Brachydontium trichodes,LOWER_PLANTS
Bryophytes,Brachytheciastrum velutinum,LOWER_PLANTS
Bryophytes,Brachythecium albicans,LOWER_PLANTS
Bryophytes,Brachythecium glareosum,LOWER_PLANTS
Bryophytes,Brachythecium mildeanum,LOWER_PLANTS
Bryophytes,Brachythecium rivulare,LOWER_PLANTS
Bryophytes,Brachythecium rutabulum,LOWER_PLANTS
Bryophytes,Breutelia chrysocoma,LOWER_PLANTS
Bryophytes,Bryoerythrophyllum caledonicum,LOWER_PLANTS
Bryophytes,Bryoerythrophyllum ferruginascens,LOWER_PLANTS
Bryophytes,Bryoerythrophyllum recurvirostrum,LOWER_PLANTS
Bryophytes,Bryum algovicum,LOWER_PLANTS
Bryophytes,Bryum alpinum,LOWER_PLANTS
Bryophytes,Bryum archangelicum,LOWER_PLANTS
Bryophytes,Bryum argenteum,LOWER_PLANTS
Bryophytes,Bryum bornholmense,LOWER_PLANTS
Bryophytes,Bryum canariense,LOWER_PLANTS
Bryophytes,Bryum capillare,LOWER_PLANTS
Bryophytes,Bryum donianum,LOWER_PLANTS
Bryophytes,Bryum klinggraeffii,LOWER_PLANTS
Bryophytes,Bryum moravicum,LOWER_PLANTS
Bryophytes,Bryum pallens,LOWER_PLANTS
Bryophytes,Bryum pallescens,LOWER_PLANTS
Bryophytes,Bryum pseudotriquetrum,LOWER_PLANTS
Bryophytes,Bryum radiculosum,LOWER_PLANTS
Bryophytes,Bryum rubens,LOWER_PLANTS
Bryophytes,Bryum ruderale,LOWER_PLANTS
Bryophytes,Bryum sauteri,LOWER_PLANTS
Bryophytes,Bryum subapiculatum,LOWER_PLANTS
Bryophytes,Bryum torquescens,LOWER_PLANTS
Bryophytes,Bryum violaceum,LOWER_PLANTS
Bryophytes,Bryum weigelii,LOWER_PLANTS
Bryophytes,Buxbaumia viridis,LOWER_PLANTS
Bryophytes,Calliergon cordifolium,LOWER_PLANTS
Bryophytes,Calliergon giganteum,LOWER_PLANTS
Bryophytes,Calliergonella cuspidata,LOWER_PLANTS
Bryophytes,Calliergonella lindbergii,LOWER_PLANTS
Bryophytes,Calypogeia arguta,LOWER_PLANTS
Bryophytes,Calypogeia fissa,LOWER_PLANTS
Bryophytes,Calypogeia integristipula,LOWER_PLANTS
Bryophytes,Calypogeia muelleriana,LOWER_PLANTS
Bryophytes,Calypogeia sphagnicola,LOWER_PLANTS
Bryophytes,Campyliadelphus chrysophyllus,LOWER_PLANTS
Bryophytes,Campyliadelphus elodes,LOWER_PLANTS
Bryophytes,Campylium stellatum s.l.,LOWER_PLANTS
Bryophytes,Campylophyllum calcareum,LOWER_PLANTS
Bryophytes,Campylopus atrovirens,LOWER_PLANTS
Bryophytes,Campylopus brevipilus,LOWER_PLANTS
Bryophytes,Campylopus flexuosus,LOWER_PLANTS
Bryophytes,Campylopus fragilis,LOWER_PLANTS
Bryophytes,Campylopus introflexus,LOWER_PLANTS
Bryophytes,Campylopus pyriformis,LOWER_PLANTS
